EventName,ElapsedTime,Timestamp,SessionID,Version,ButtonClickMessage,CurrentDurationEngaged,DragStartPosition,DragStopPosition,InjuryBodyRegion,InjuryName,InjuryPosition,InjuryRequiredProcedure,InjuryRequiredTreatmentCount,InjuryRequiredTreatmentsApplied,InjurySeverity,InjuryTreatedWithCorrectTreatment,InjuryTreatmentComplete,PatientBreathing,PatientHealthLevel,PatientHealthTimeRemaining,PatientHearing,PatientID,PatientMood,PatientPose,PatientPosition,PatientPulse,PatientRotation,PatientSpO2,PatientTriageLevel,PatientTriageSort,PlayerDirection,PlayerDistanceFromPatient,PlayerLeftHandPosition,PlayerPosition,PlayerRightHandPosition,QuestionAnswer,QuestionPrompt,TagType,TeleportPosition,ToolAttachMessage,ToolAttachParent,ToolCount,ToolMessageSender,ToolType,TotalDurationEngaged,TriageSortCommand,VoiceCaptureCommandDescription,VoiceCaptureMessage,WeaponsDisarmed,WeaponsHeld,
VOICE_CAPTURE,-46401,4/15/2026 11:48:51 AM,d1e4225f-cdad-4aa1-bd58-89d866f5279e,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,or like you say something or...,
VOICE_CAPTURE,-42939,4/15/2026 11:48:54 AM,d1e4225f-cdad-4aa1-bd58-89d866f5279e,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,or okay okay Okay. Okay.,
VOICE_CAPTURE,-32917,4/15/2026 11:49:04 AM,d1e4225f-cdad-4aa1-bd58-89d866f5279e,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Mm-hmm. Okay. Okay.,
VOICE_CAPTURE,-17913,4/15/2026 11:49:19 AM,d1e4225f-cdad-4aa1-bd58-89d866f5279e,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Yeah. Okay. Okay.,
BAG_ACCESS,-14284,4/15/2026 11:49:23 AM,d1e4225f-cdad-4aa1-bd58-89d866f5279e,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.0, 0.0, 0.0)",
VOICE_CAPTURE,-12870,4/15/2026 11:49:24 AM,d1e4225f-cdad-4aa1-bd58-89d866f5279e,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Sure. Sure.,
BAG_CLOSED,-8452,4/15/2026 11:49:29 AM,d1e4225f-cdad-4aa1-bd58-89d866f5279e,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.0, 0.0, 0.0)",
SESSION_START,6,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,
PATIENT_RECORD,6,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,,,,,,,,,,fast,100,Infinity,normal,US Military 1,agony,supine,"(5.9, 0.0, 2.1)",fast,"(0.0, -1.0, 0.0, 0.1)",normal,IMMEDIATE,still,
INJURY_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,leftLeg,L Shin Amputation,"(6.0, 0.4, 2.1)",tourniquet,1,0,high,False,False,,,,,US Military 1,
PATIENT_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,,,,,,,,,,normal,100,Infinity,normal,Civilian 1,upset,fetal,"(4.7, 0.0, -3.6)",normal,"(0.0, -0.4, 0.0, 0.9)",normal,DELAYED,still,
INJURY_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,leftLeg,L Thigh Laceration,"(4.5, 0.6, -3.7)",israeliWrap,1,0,medium,False,False,,,,,Civilian 1,
PATIENT_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,,,,,,,,,,fast,100,Infinity,normal,Attacker 1,agony,prone,"(4.5, 0.0, 4.9)",fast,"(0.0, 1.0, 0.0, -0.3)",normal,IMMEDIATE,still,
INJURY_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,abdomen,R Stomach Puncture,"(4.4, 1.1, 4.9)",woundpack,1,0,high,False,False,,,,,Attacker 1,
PATIENT_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,,,,,,,,,,fast,100,Infinity,normal,US Military 2,calm,supine,"(0.4, 0.0, 4.0)",fast,"(0.0, -0.9, 0.0, 0.4)",normal,MINIMAL,still,
INJURY_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,leftHand,L Wrist Broken,"(0.6, 1.3, 3.7)",splint,1,0,low,False,False,,,,,US Military 2,
PATIENT_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,,,,,,,,,,fast,100,Infinity,normal,Civilian 2,agony,fetal,"(2.9, 0.0, 1.9)",fast,"(0.0, -0.9, 0.0, 0.4)",normal,IMMEDIATE,still,
INJURY_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,abdomen,R Stomach Puncture,"(2.7, 1.0, 2.0)",woundpack,1,0,high,False,False,,,,,Civilian 2,
PATIENT_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,,,,,,,,,,restricted,100,Infinity,none,US Military 3,unresponsive,supine,"(-0.8, 0.0, -5.5)",faint,"(0.0, 0.4, 0.0, 0.9)",low,EXPECTANT,still,
INJURY_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,chest,L Chest Collapse,"(-0.9, 1.3, -5.4)",decompressionNeedle,1,0,high,False,False,,,,,US Military 3,
INJURY_RECORD,7,4/15/2026 11:49:37 AM,26c079a8-a185-4cb0-8ca6-4a6f5cc72a0f,2.0,,,,,chest,R Chest Puncture,"(-0.7, 1.3, -5.5)",chestSeal,1,0,high,False,False,,,,,US Military 3,
